Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,date
9, Halo Wars , X360 , Microsoft Game Studios , Strategy ,146223,146223,1,2009-02-27,T,39871 
10, Wii Play , Wii , Nintendo , Misc ,142647,22161329,118,2009-02-27,E,39871 
11, Star Ocean: The Last Hope , X360 , Square Enix , Role-Playing ,93277,258147,2,2009-02-27,T,39871 
12, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,76984,2288684,107,2009-02-27,E,39871 
13, Call of Duty: World at War , X360 , Activision , Shooter ,67263,4955897,16,2009-02-27,M,39871 
14, New Super Mario Bros. , DS , Nintendo , Platform ,65195,18508450,146,2009-02-27,E,39871 
15, Mario Kart DS , DS , Nintendo , Racing ,64621,13612902,172,2009-02-27,E,39871 
16, Mario & Luigi: Bowser's Inside Story , DS , Nintendo , Role-Playing ,56992,328470,3,2009-02-27,E,39871 
17, One Piece Unlimited Cruise 2: Awakening of a Hero , Wii , Namco Bandai Games , Adventure ,47085,47085,1,2009-02-27,E10+,39871 
18, Call of Duty: World at War , PS3 , Activision , Shooter ,45044,3053958,16,2009-02-27,M,39871 
19, Guitar Hero: World Tour , Wii , Activision , Misc ,43949,2611224,18,2009-02-27,T,39871 
20, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,43847,16990133,198,2009-02-27,E,39871 
21, Game Center CX: Arino no Chousenjou 2 , DS , Namco Bandai Games , Action ,43501,43501,1,2009-02-27,E,39871 
22, My Fitness Coach , Wii , Ubisoft , Sports ,43163,487039,13,2009-02-27,E,39871 
23, Halo 3 , X360 , Microsoft Game Studios , Shooter ,38499,9139699,75,2009-02-27,M,39871 
24, Nintendogs , DS , Nintendo , Simulation ,37424,22022078,202,2009-02-27,E,39871 
